codigo;chamada;nome;grupo;tipo;ind_cta;dre
1;0001;ATIVO;AC;D;S;
1-1;0002;ATIVO CIRCULANTE;AC;D;S;
1-1-1;0003;DISPONIBILIDADES;AC;D;S;
1-1-1-01;0004;Caixa e Equivalentes de Caixa;AC;D;S;
1-1-1-01-0001;0005;Caixa Geral;AC;D;A;
1-1-1-01-0002;0006;Banco Conta Movimento;AC;D;A;
1-1-1-01-0003;0007;Aplicacoes de Liquidez Imediata;AC;D;A;
1-1-2;0008;CLIENTES E CONTAS A RECEBER;AC;D;S;
1-1-2-01;0009;Clientes no Pais;AC;D;S;
1-1-2-01-0001;0010;Servicos a Receber;AC;D;A;
1-1-3;0011;TRIBUTOS A RECUPERAR / COMPENSAR;AC;D;S;
1-1-3-01;0012;Impostos Retidos na Fonte;AC;D;S;
1-1-3-01-0001;0013;IRRF a Compensar;AC;D;A;
1-1-3-01-0002;0014;CSLL Retida na Fonte a Compensar;AC;D;A;
1-1-3-01-0003;0015;PIS Retido a Compensar;AC;D;A;
1-1-3-01-0004;0016;COFINS Retida a Compensar;AC;D;A;
1-1-3-01-0005;0017;ISS Retido a Compensar;AC;D;A;
1-1-3-01-0006;0018;INSS Retido a Compensar;AC;D;A;
1-1-4;0077;ESTOQUES;AC;D;S;
1-1-4-01;0078;Mercadorias e Insumos;AC;D;S;
1-1-4-01-0001;0079;Mercadorias para Revenda;AC;D;A;
1-1-4-01-0002;0080;Materiais e Insumos;AC;D;A;
1-1-5;0081;APLICACOES FINANCEIRAS;AC;D;S;
1-1-5-01;0082;Aplicacoes de Curto Prazo;AC;D;S;
1-1-5-01-0001;0083;Aplicacoes Financeiras de Curto Prazo;AC;D;A;
1-1-6;0084;ADIANTAMENTOS;AC;D;S;
1-1-6-01;0085;Adiantamentos Concedidos;AC;D;S;
1-1-6-01-0001;0086;Adiantamentos a Fornecedores;AC;D;A;
1-1-6-01-0002;0087;Adiantamentos a Empregados;AC;D;A;
1-2;0088;ATIVO NAO CIRCULANTE;ANC;D;S;
1-2-1;0089;IMOBILIZADO;ANC;D;S;
1-2-1-01;0090;Bens em Operacao;ANC;D;S;
1-2-1-01-0001;0091;Moveis e Utensilios;ANC;D;A;
1-2-1-01-0002;0092;Equipamentos de Informatica;ANC;D;A;
1-2-1-01-0003;0093;Maquinas e Equipamentos;ANC;D;A;
